site.name,site.id,dataset.id,age,tave_mat,tave_wa,tave_wapls,tave,lat,long
Basswood Road Lake/Splan Pond,2959,3775,11500,-1.627454545,-0.424727822,0.419015817,-0.54438885,45.255556,-67.330556
Basswood Road Lake/Splan Pond,2959,3775,12500,-8.648857143,-3.416354335,-4.468051387,-5.511087622,45.255556,-67.330556
Basswood Road Lake/Splan Pond,2959,3775,13500,-2.080555556,-1.468864943,-1.371092271,-1.640170923,45.255556,-67.330556
Brewster Creek,9588,14104,10500,7.17825,8.086542495,8.24525426,7.836682252,41.98044,-88.24441
Brewster Creek,9588,14104,11500,5.284888889,3.522426786,3.971269595,4.259528423,41.98044,-88.24441
Brewster Creek,9588,14104,12500,5.11975,3.270247463,3.603534973,3.997844145,41.98044,-88.24441
Brewster Creek,9588,14104,13500,0.931333333,1.577108426,2.203686008,1.570709256,41.98044,-88.24441
Brewster Creek,9588,14104,14500,-2.868769231,-2.450922364,-1.998501996,-2.439397864,41.98044,-88.24441
Brewster Creek,9588,14104,15500,-3.171090909,-2.961742382,-2.530460329,-2.88776454,41.98044,-88.24441
Brewster Creek,9588,14104,16500,-3.294,-2.654872186,-2.487353528,-2.812075238,41.98044,-88.24441
Blackwoods Hollow,9889,14674,500,2.517714286,-0.589574012,0.974760453,0.967633576,44.313195,-68.22364
Blackwoods Hollow,9889,14674,1500,3.713,0.937071519,2.914157176,2.521409565,44.313195,-68.22364
Blackwoods Hollow,9889,14674,2500,4.259333333,1.559480393,3.504032223,3.107615316,44.313195,-68.22364
Blackwoods Hollow,9889,14674,3500,4.1205,3.143941912,5.241882915,4.168774942,44.313195,-68.22364
Blackwoods Hollow,9889,14674,4500,4.182,3.285962054,5.433301517,4.30042119,44.313195,-68.22364
Blackwoods Hollow,9889,14674,5500,4.221,3.191762917,5.273844724,4.228869214,44.313195,-68.22364
Blackwoods Hollow,9889,14674,6500,4.248,3.756117633,6.041439865,4.681852499,44.313195,-68.22364
Blackwoods Hollow,9889,14674,7500,4.660666667,4.305794551,5.876028611,4.94749661,44.313195,-68.22364
Blackwoods Hollow,9889,14674,8500,4.035714286,2.302772316,3.31747269,3.218653097,44.313195,-68.22364
Blackwoods Hollow,9889,14674,9500,3.648,2.801708511,3.300490726,3.250066412,44.313195,-68.22364
Blackwoods Hollow,9889,14674,10500,2.993,2.24972075,3.12569104,2.789470597,44.313195,-68.22364
Blackwoods Hollow,9889,14674,11500,-1.193777778,-1.573957273,-1.261828055,-1.343187702,44.313195,-68.22364
Conroy Lake,491,14768,10500,0.85625,0.545780047,1.729504907,1.043844985,46.283333,-67.883333
Conroy Lake,491,14768,11500,-11.498,-3.772801658,-5.954141727,-7.074981128,46.283333,-67.883333
Conroy Lake,491,14768,12500,-5.324545455,-2.120876667,-3.705257868,-3.71689333,46.283333,-67.883333
Appleman Lake,10003,14957,5500,9.1,11.38173432,11.97439701,10.81871044,41.623285,-85.212085
Appleman Lake,10003,14957,6500,7.792,11.16730646,11.1767059,10.04533745,41.623285,-85.212085
Appleman Lake,10003,14957,8500,9.144285714,10.99878796,11.10062761,10.4145671,41.623285,-85.212085
Appleman Lake,10003,14957,9500,8.5245,11.03134386,11.28652241,10.28078876,41.623285,-85.212085
Appleman Lake,10003,14957,10500,7.041333333,7.494615235,8.260386419,7.598778329,41.623285,-85.212085
Appleman Lake,10003,14957,11500,2.331272727,2.976297426,4.15496581,3.154178654,41.623285,-85.212085
Appleman Lake,10003,14957,12500,3.53775,3.38483507,4.169001595,3.697195555,41.623285,-85.212085
Appleman Lake,10003,14957,13500,-2.628666667,-0.977793632,0.206278402,-1.133393966,41.623285,-85.212085
Appleman Lake,10003,14957,14500,-1.8925,0.283556065,1.247695739,-0.120416065,41.623285,-85.212085
Appleman Lake,10003,14957,15500,-3.645333333,-3.70962591,-2.526619731,-3.293859658,41.623285,-85.212085
Appleman Lake,10003,14957,16500,-3.2232,-3.577685918,-2.437740815,-3.079542244,41.623285,-85.212085
Appleman Lake,10003,14957,17500,-2.906,-4.067505192,-4.515646006,-3.829717066,41.623285,-85.212085
Appleman Lake,10003,14957,19500,-2.83,-2.586431142,-2.142292316,-2.519574486,41.623285,-85.212085
Fort Bragg (core PAW2),10103,15191,500,6.178,5.284425713,5.791882012,5.751435908,35.173545,-79.089805
Fort Bragg (core PAW2),10103,15191,1500,6.928,5.543236597,6.026770014,6.166002204,35.173545,-79.089805
Fort Bragg (core PAW2),10103,15191,2500,8.022,8.4777923,9.098782005,8.532858102,35.173545,-79.089805
Fort Bragg (core PAW2),10103,15191,4500,5.47,4.216083073,5.178276884,4.954786652,35.173545,-79.089805
