paleo_tave_deviance,paleo_pr_deviance,paleo_pr2_deviance,modern_tave_deviance,modern_pr_deviance,coef_paleo_tave,coef_paleo_pr,coef_paleo_pr2,coef_modern_tave,coef_modern_pr,AIC_fit_null,AIC_fit_50,AIC_fit_100,AIC_fit_200,AIC_fit_400,AIC_fit_600,AIC_fit_800,AIC_fit_1000,pseudo_r2_fit_null,pseudo_r2_fit_50,pseudo_r2_fit_100,pseudo_r2_fit_200,pseudo_r2_fit_400,pseudo_r2_fit_600,pseudo_r2_fit_800,pseudo_r2_fit_1000,moran_fit_null,moran_fit_50,moran_fit_100,moran_fit_200,moran_fit_400,moran_fit_600,moran_fit_800,moran_fit_1000,modern_tave_sig,modern_pr_sig,paleo_tave_sig,paleo_pr_sig,paleo_pr2_sig,climate_simulation,species
1.50145484,0.148664551,0.436798586,1.225399886,0.021490435,2.69508853,-13.10733403,-67.2280503,-0.608682881,-0.291033379,6183.631907,6163.934751,6222.374516,6427.294211,6948.294211,7271.398129,7355.593181,7186.215089,0.722330956,0.728944098,0.715776769,0.664342641,0.487664089,0.334032974,0.286929497,0.378523511,0.578201859,-2.49E-04,0.027980519,0.22317557,0.457308165,0.551708749,0.567233953,0.520018059,TRUE,FALSE,TRUE,FALSE,TRUE,TRACE_LORENZ,mamm
0.15201775,0.288373235,0.053401075,0.406748727,0.349222966,0.620096516,7.252473105,-6.545003096,-0.223274266,1.056373722,6180.619761,6164.718534,6222.143163,6432.132085,6951.020047,7294.338677,7471.561399,7512.096032,0.723009007,0.728771601,0.715830137,0.663021975,0.486529276,0.321516111,0.216547569,0.190342083,0.622785857,7.65E-04,0.027649848,0.226087563,0.462621489,0.56844222,0.61278098,0.600942952,TRUE,TRUE,FALSE,FALSE,FALSE,TRACE_MWF,mamm
0.699795861,1.84E-04,0.09615727,0.54117563,0.00421353,1.783834584,0.673554419,-61.19787311,-0.40620992,-0.13337733,6180.859631,6174.703397,6226.673492,6436.310021,6954.729036,7290.411255,7462.111187,7392.04987,0.722955072,0.726564472,0.71478326,0.661877281,0.484981121,0.323675567,0.222534151,0.265513389,0.588189376,-0.001258711,0.027491272,0.22714144,0.459222621,0.560142236,0.561722422,0.559418586,TRUE,FALSE,TRUE,FALSE,FALSE,TRACE,mamm
2.068377495,0.124594125,0.232409986,9.428103229,3.427900536,3.53228743,-5.326495999,11.84689059,1.209761411,2.974845925,5699.364596,5416.786345,5487.030552,5979.557089,6530.707525,6896.304957,7092.83005,6823.46404,0.970727414,0.976915322,0.975560871,0.963549195,0.942984343,0.923286549,0.910019391,0.927690686,0.652834491,1.48E-04,0.101293129,0.360732525,0.53980898,0.611766599,0.64629497,0.588157972,TRUE,TRUE,TRUE,FALSE,FALSE,CCSM-MARUM,reps
1.582386757,0.040856034,0.073409418,14.0413911,3.850295428,2.084101293,-8.61119199,19.42882626,1.384930374,3.219932378,5712.489436,5432.282389,5481.672316,5970.386909,6503.26156,6884.997395,7099.105669,6858.70179,0.970413898,0.97662313,0.975666931,0.963819503,0.94424047,0.92398742,0.909559874,0.925592628,0.649085937,0.001449591,0.095758569,0.361446586,0.538523283,0.613964548,0.649124747,0.58631603,TRUE,TRUE,TRUE,FALSE,FALSE,CCSM-NCAR,reps
0.06467488,0.125368605,0.005540406,10.35317761,3.147392436,0.763180038,6.829767047,1.437741065,1.288886706,3.036389332,5683.263826,5428.307588,5486.608527,5984.30309,6519.007814,6889.660849,7104.002822,6992.966858,0.971107483,0.976698429,0.975569241,0.963408506,0.943523231,0.923699147,0.909199663,0.917025245,0.657661054,-0.001792727,0.099715202,0.361770451,0.539051759,0.614875769,0.652776452,0.626342414,TRUE,TRUE,FALSE,FALSE,FALSE,CM2Mc,reps
2.61E-04,0.282257627,0.039825593,6.421237447,1.346889989,-0.078815098,27.827402,-17.13075808,1.08636516,2.039547326,5578.538502,5446.347471,5476.342808,5967.656299,6470.0335,6784.403508,6967.385826,6979.808143,0.973461983,0.97635472,0.975771966,0.963899605,0.945724251,0.929947289,0.918730355,0.917906764,0.60014315,-0.015377837,0.098794492,0.357523576,0.520953003,0.57918939,0.60206079,0.546945461,TRUE,TRUE,FALSE,TRUE,FALSE,COSMOS-S,reps
0.293432905,0.013941049,0.525713519,6.948953051,1.758019613,1.848698427,-3.633615481,34.69421957,1.100949105,2.280144937,5610.990771,5430.258601,5469.578592,5952.874825,6481.118995,6838.476091,7041.984276,7052.464324,0.972753653,0.9766615,0.975904624,0.964330148,0.945233676,0.926804199,0.913657386,0.912919777,0.621672954,-0.009071547,0.096615893,0.356271366,0.532212811,0.596980011,0.625104156,0.576653743,TRUE,TRUE,TRUE,FALSE,TRUE,COSMOS-W,reps
1.322611285,0.131610658,0.044667427,11.68040425,2.864989057,3.84263625,-16.89875866,17.98144741,1.2967782,2.732587729,5635.298087,5438.656221,5488.785499,5986.14321,6532.047608,6904.702553,7100.08451,6901.670978,0.972210746,0.976501875,0.975526033,0.963353812,0.942922292,0.922761866,0.90948799,0.922951692,0.640241026,-0.004993839,0.100844695,0.361488622,0.537872076,0.609397326,0.639918034,0.572195285,TRUE,TRUE,TRUE,FALSE,FALSE,HadCM3,reps
2.968527401,1.974870861,3.67E-04,4.484675897,1.072560866,11.6256732,-16.0450633,0.383413823,0.999394378,1.825319147,5902.473975,5380.483847,5469.868345,5957.11008,6425.796893,6741.574619,6890.843443,6649.458879,0.965480894,0.977585618,0.975898956,0.964207314,0.947638522,0.932340738,0.92362587,0.937215075,0.59375719,0.01271835,0.096847528,0.35665988,0.508165706,0.574059285,0.588675149,0.526280299,TRUE,TRUE,TRUE,TRUE,FALSE,IPSL,reps
0.010563651,0.719008698,0.565307289,10.01396565,2.978378287,0.239102524,14.51700505,-20.51581682,1.228430631,2.840548197,5617.618367,5431.904918,5479.232304,5979.254822,6525.291297,6902.202226,7120.625577,6991.32703,0.972606685,0.976630292,0.975715076,0.963558137,0.943234451,0.922918461,0.907966237,0.917135613,0.645525834,-0.008712411,0.097155801,0.361686677,0.539962575,0.611024915,0.642613147,0.592287121,TRUE,TRUE,FALSE,TRUE,TRUE,MIROC-S,reps
3.10E-04,0.025436495,0.432314491,4.584316062,0.895485419,0.274409562,-7.118422947,-149.6085585,0.921674153,1.580465168,5503.406604,5451.471088,5462.814767,5932.840945,6395.177786,6654.912965,6772.735245,6869.237072,0.975032009,0.97625618,0.976036548,0.964905494,0.948923832,0.936936509,0.930607626,0.924953615,0.590124959,-0.038158072,0.094398904,0.351640202,0.515788432,0.571206205,0.585174435,0.595775889,TRUE,TRUE,FALSE,FALSE,TRUE,MIROC-W,reps
2.104074164,0.014058811,0.243241258,8.121501101,2.706211664,3.340233428,1.089709397,2.878525116,1.168721667,2.780889872,5730.754832,5402.966928,5482.311104,5980.248433,6509.458173,6865.184977,7055.152978,6874.922173,0.969971992,0.977172817,0.975654311,0.963528735,0.943959309,0.92520004,0.91272953,0.924606511,0.629409189,0.002259512,0.103734008,0.360145641,0.529696738,0.597255741,0.629156049,0.557152696,TRUE,TRUE,TRUE,FALSE,TRUE,PROXY_KRIGING,reps
3.205570987,0.008339734,0.146147576,2.692787975,0.392719578,4.105319183,-3.302331136,41.88190692,0.848623879,1.156173608,5821.269945,5384.532212,5473.215614,5967.378838,6515.810189,6903.459864,7115.023622,7038.95437,0.967682768,0.977511843,0.975833386,0.963907734,0.943669625,0.922839735,0.908383769,0.913869471,0.651359318,0.010255199,0.10986753,0.357668345,0.541184294,0.618124436,0.651788813,0.606760494,TRUE,TRUE,TRUE,FALSE,FALSE,TRACE_LORENZ,reps
2.287383901,0.355977803,0.035778829,11.80627296,3.846071483,3.028739794,-11.17437901,6.202121491,1.312897096,3.196946006,5739.291695,5417.133174,5484.673347,5978.556204,6512.545709,6846.2241,6999.71216,6852.105211,0.969763197,0.976908822,0.975607586,0.963578796,0.943818688,0.926342423,0.916569706,0.925989968,0.624970725,0.003585489,0.097833484,0.362201981,0.532973033,0.59603625,0.62358583,0.588451685,TRUE,TRUE,TRUE,TRUE,FALSE,TRACE_MWF,reps
